name,sku,category,price,cost,stock,minStock
"Nestle - Organic Orange Juice 1L (Variant #1)",SMP-1001,BEVERAGES,3.5,2.5,15,15
"Dabur - Artisanal Sourdough Loaf (Variant #1)",SMP-1002,BAKERY,5.39,3.85,26,15
"Britannia - Aged Cheddar Cheese Slice 200g (Variant #1)",SMP-1003,DAIRY,7.28,5.2,37,15
"Amul - Oatmeal Raisin Cookies 250g (Variant #1)",SMP-1004,SNACKS,9.17,6.55,48,15
"Sunfeast - Refined Sunflower Cooking Oil 1L (Variant #1)",SMP-1005,STAPLES,11.06,7.9,59,15
"Parle - Deep Moisture Body Lotion 400ml (Variant #1)",SMP-1006,PERSONAL CARE,12.95,9.25,70,15
"Pepsico - Microfiber Cleaning Cloth 4 Pack (Variant #1)",SMP-1007,HOUSEHOLD,14.84,10.6,81,15
"Unilever - Mango Nectar Juice 1L (Variant #2)",SMP-1008,BEVERAGES,16.73,11.95,92,15
"Colgate - Whole Wheat Sandwich Bread (Variant #2)",SMP-1009,BAKERY,18.62,13.3,103,15
"Kelloggs - Greek Yogurt Strawberry 200g (Variant #2)",SMP-1010,DAIRY,20.51,14.65,114,15
"Nestle - 70% Dark Belgian Chocolate 100g (Variant #2)",SMP-1011,SNACKS,22.4,16,125,15
"Dabur - Extra Virgin Olive Oil 1L (Variant #2)",SMP-1012,STAPLES,24.29,17.35,136,15
"Britannia - Hydrating Hand Sanitizer 250ml (Variant #2)",SMP-1013,PERSONAL CARE,26.18,18.7,147,15
"Amul - Multi-Surface Cleaner Spray 500ml (Variant #2)",SMP-1014,HOUSEHOLD,28.07,20.05,158,15
"Sunfeast - Pure Coconut Water 330ml (Variant #3)",SMP-1015,BEVERAGES,29.96,21.4,169,15
"Parle - Gluten Free Oat Bread (Variant #3)",SMP-1016,BAKERY,31.85,22.75,180,15
"Pepsico - Fresh Full Cream Milk 1L (Variant #3)",SMP-1017,DAIRY,33.74,24.1,191,15
"Unilever - Roasted Salted Almonds 200g (Variant #3)",SMP-1018,SNACKS,35.63,25.45,202,15
"Colgate - Organic Toor Dal 1kg (Variant #3)",SMP-1019,STAPLES,37.52,26.8,213,15
